Time [s],Value,Parity Error,Framing Error
1.341510000000000,0xDC,,
1.342615000000000,0xFB,Error,Error
1.343735000000000,0xFF,,
1.345005000000000,0xFF,,
1.349565000000000,0xFF,,
1.351510000000000,0xFF,,
1.352675000000000,0xFF,,
1.353820000000000,0xFF,,
1.356430000000000,0xFF,,
1.358035000000000,0xFF,,
1.359710000000000,0x85,,
1.360925000000000,0x80,Error,
1.362380000000000,0xB8,,Error
1.363580000000000,0xFE,Error,
1.370465000000000,0xFF,,
1.371980000000000,0xFF,,
1.374850000000000,0xFF,,
1.375960000000000,0xFF,,
1.377885000000000,0xFF,,
1.384020000000000,0xFF,,
1.389795000000000,0xFF,,
1.394670000000000,0xFF,,
1.395930000000000,0xFF,,
1.397775000000000,0xFF,,
1.399735000000000,0xBF,Error,Error
1.400860000000000,0x08,Error,Error
1.401975000000000,0x94,,
1.403160000000000,0x7F,Error,Error
1.404285000000000,0xFF,,
1.411230000000000,0xFF,,
1.412500000000000,0xFF,,
1.414800000000000,0xFF,,
1.420490000000000,0xFE,Error,
1.421605000000000,0xE2,,
1.422935000000000,0xFF,,
1.425025000000000,0xFF,,
1.434475000000000,0xFF,,
1.439920000000000,0x2C,Error,
1.441060000000000,0x59,Error,Error
1.442185000000000,0xA9,Error,Error
1.443320000000000,0xFE,Error,
1.444510000000000,0xFF,,
1.446510000000000,0xFF,,
1.447630000000000,0xFF,,
1.449975000000000,0xFF,,Error
1.452060000000000,0xFF,,
1.454370000000000,0xFF,,
1.458520000000000,0xFF,,
1.459750000000000,0xB5,,
1.460845000000000,0x10,Error,Error
1.462005000000000,0xDC,,
1.463185000000000,0xEF,Error,
1.464295000000000,0xBF,Error,
1.467440000000000,0xFF,,
1.472490000000000,0xFF,,
1.475865000000000,0xFF,,
1.479955000000000,0x28,Error,Error
1.481055000000000,0x74,Error,Error
1.482475000000000,0xA5,,Error
1.483595000000000,0x90,Error,
1.484855000000000,0xBF,,
1.486320000000000,0xBB,,
1.487675000000000,0xBF,Error,Error
1.488800000000000,0xFF,Error,Error
1.489950000000000,0xFF,,
1.491105000000000,0xFF,,
1.492355000000000,0xFF,,
1.494020000000000,0xFF,,
1.495140000000000,0xFF,Error,
1.496310000000000,0xFF,,
1.498180000000000,0xFF,,Error
1.500215000000000,0xB1,Error,
1.501310000000000,0x1B,,Error
1.502550000000000,0x76,Error,
1.503725000000000,0xBE,,
1.504830000000000,0xDF,Error,
1.506505000000000,0xFF,,Error
1.507630000000000,0xFF,Error,
1.509625000000000,0xFF,,
1.510735000000000,0xFF,,
1.512210000000000,0xFF,,
1.513680000000000,0xFE,Error,
1.514830000000000,0xFF,,Error
1.516905000000000,0xFF,,Error
1.518470000000000,0xEF,Error,
1.519765000000000,0x81,Error,
1.520975000000000,0xC0,,Error
1.522085000000000,0x42,,Error
1.523305000000000,0x60,Error,Error
1.524440000000000,0xFF,,
1.527365000000000,0xFF,,
1.533515000000000,0xFF,,
1.536120000000000,0xFF,,
1.537910000000000,0xFF,,
1.539220000000000,0xBF,Error,
1.540750000000000,0xFF,,
1.554130000000000,0xF7,Error,
1.555430000000000,0xFF,,
1.558230000000000,0xFF,,
1.559985000000000,0xAC,,Error
1.561095000000000,0x40,,Error
1.562315000000000,0xF0,Error,
1.563430000000000,0xFB,Error,
1.564565000000000,0xFF,,
1.573710000000000,0xFE,Error,
1.574910000000000,0xFF,,
1.576700000000000,0xFF,,
1.578175000000000,0xFF,,
1.579785000000000,0xE1,Error,Error
1.580915000000000,0x40,Error,Error
1.582140000000000,0xFB,Error,Error
1.583325000000000,0xFD,Error,
1.584430000000000,0xFF,,
1.593035000000000,0xFF,,
1.594645000000000,0xDF,Error,
1.603775000000000,0xFF,,
1.611240000000000,0xFF,,
1.614435000000000,0xFF,,
1.615705000000000,0xFF,,
1.616805000000000,0xFF,,
1.617950000000000,0xEF,Error,
1.619530000000000,0xE7,Error,Error
1.620635000000000,0x42,Error,Error
1.621810000000000,0x94,,
1.622935000000000,0x7A,Error,Error
1.624040000000000,0xFD,Error,
1.625365000000000,0xFF,,
1.632055000000000,0xFF,,
1.639595000000000,0xFF,Error,
1.640690000000000,0x42,,
1.641975000000000,0xBF,Error,
1.644060000000000,0xFF,,
1.647655000000000,0xFF,,
1.652225000000000,0xFF,,
1.659005000000000,0x7F,,Error
1.660145000000000,0x7B,Error,Error
1.661500000000000,0x82,,Error
1.662600000000000,0xD6,Error,
1.664045000000000,0xFF,,
1.665140000000000,0xFF,,
1.671130000000000,0xFF,,
1.674095000000000,0xFF,,
1.676975000000000,0xFF,,
1.683795000000000,0xFF,,
1.691095000000000,0xFF,,
1.696470000000000,0xFF,,
1.702645000000000,0xFF,,
1.703765000000000,0xEF,Error,
1.705160000000000,0xFF,,
1.708360000000000,0xFF,,
1.709885000000000,0xFF,,
1.715175000000000,0xFF,,
1.719825000000000,0xB7,,
1.720930000000000,0xDB,,Error
1.722045000000000,0xAF,Error,
1.723155000000000,0xDE,,
1.724325000000000,0xFF,,
