Time [s],Value,Parity Error,Framing Error
0.510420000000000,0xDF,,
0.511770000000000,0x7F,Error,Error
0.512925000000000,0xF9,,
0.514025000000000,0xFD,Error,
0.515235000000000,0xDA,Error,
0.516350000000000,0xDD,,Error
0.517600000000000,0x7F,Error,
0.518700000000000,0xBF,,Error
0.519810000000000,0x11,Error,Error
0.520965000000000,0x01,,
0.522070000000000,0x48,,
0.523185000000000,0xF5,,
0.524325000000000,0xFB,Error,
0.525710000000000,0xFF,,Error
0.526820000000000,0x9D,,
0.528000000000000,0x75,Error,
0.529250000000000,0xD9,Error,
0.530475000000000,0xFF,,
0.531925000000000,0xFF,,Error
0.534035000000000,0xFF,,Error
0.535915000000000,0xFD,Error,
0.537155000000000,0xFF,,Error
0.538570000000000,0xCF,Error,Error
0.539675000000000,0x0D,,Error
0.540815000000000,0x42,Error,Error
0.541940000000000,0xF1,,
0.543180000000000,0xFD,Error,
0.544275000000000,0xBD,,
0.545475000000000,0xFD,Error,Error
0.546590000000000,0xFF,Error,
0.547765000000000,0x5B,Error,
0.548910000000000,0xA4,,
0.550005000000000,0x4A,Error,Error
0.551175000000000,0x52,,Error
0.552275000000000,0xA8,Error,Error
0.553430000000000,0xF0,,
0.554615000000000,0xB7,,Error
0.556090000000000,0x03,Error,Error
0.557335000000000,0x77,,
0.558480000000000,0x95,,Error
0.559605000000000,0x4A,,
0.560700000000000,0x88,Error,Error
0.561800000000000,0x08,,Error
0.562900000000000,0x00,Error,
0.563995000000000,0x00,Error,Error
0.565190000000000,0x40,,Error
0.566350000000000,0x10,Error,
0.567530000000000,0xA0,,Error
0.568665000000000,0xC0,Error,
0.569785000000000,0x7C,Error,Error
0.570920000000000,0xF2,Error,Error
0.572055000000000,0x7F,Error,Error
0.573470000000000,0x53,,Error
0.575430000000000,0xFE,Error,
0.576595000000000,0xFF,,Error
0.578005000000000,0xDF,Error,
0.579200000000000,0x23,,Error
0.580365000000000,0x82,Error,Error
0.581520000000000,0x80,,Error
0.582625000000000,0x78,,
0.583720000000000,0xFD,Error,
0.584835000000000,0xFE,Error,
0.585970000000000,0xFF,,Error
0.587090000000000,0xFF,,
0.589095000000000,0xFF,,Error
0.590810000000000,0xFF,,
0.592235000000000,0xFF,,Error
0.593340000000000,0xFF,Error,
0.595350000000000,0xFF,,Error
0.596910000000000,0x6F,,Error
0.598175000000000,0x1E,Error,Error
0.599505000000000,0x00,Error,Error
0.600760000000000,0x00,Error,Error
0.601925000000000,0x00,Error,Error
0.603085000000000,0xC0,Error,
0.604300000000000,0x7D,,Error
0.605815000000000,0x5B,,Error
0.606930000000000,0x74,,
0.608205000000000,0xAF,Error,
0.609300000000000,0xFF,,Error
0.610495000000000,0xCA,,
0.611640000000000,0xA5,,
0.612740000000000,0x43,,Error
0.613840000000000,0x20,,Error
0.614950000000000,0x00,Error,Error
0.616285000000000,0xA8,,Error
0.617640000000000,0x10,,Error
0.618755000000000,0x18,Error,Error
0.620035000000000,0x0A,Error,Error
0.621150000000000,0x00,Error,Error
0.622255000000000,0xB5,,Error
0.623485000000000,0x7D,,Error
0.624710000000000,0x5F,,
0.626375000000000,0xE5,Error,Error
0.627485000000000,0xF3,Error,
0.628845000000000,0xDF,Error,
0.630055000000000,0xEF,Error,Error
0.631280000000000,0xFB,Error,
0.632615000000000,0xFF,,Error
0.633740000000000,0xFF,Error,
0.635650000000000,0x76,,
0.636775000000000,0xD5,Error,Error
0.638235000000000,0x99,,
0.639495000000000,0xA9,Error,Error
0.640610000000000,0x18,,Error
0.641730000000000,0xAD,,
0.642895000000000,0x7A,Error,
0.644000000000000,0xFE,Error,
0.645095000000000,0xFF,,Error
0.646225000000000,0xFF,Error,
0.648115000000000,0xFE,Error,
0.649260000000000,0xFF,,Error
